"Year","Primary production","Secondary production","Imports","Exports","Shipments","Apparent consumption","Unit value ($/t)","Unit value (98$/t)","World production","Estimated","Log. Estimated"
1900,"120.00","NA","NA","NA","NA","33.2",609000,11900000,386,486,486
1901,"120.00","NA","NA","NA","NA","35.9",610000,11900000,395,493,493
1902,"122.00","NA","NA","NA","NA","41.7",609000,11400000,451,499,499
1903,"114.00","NA","NA","NA","NA","43.7",609000,11000000,496,506,506
1904,"122.00","NA","NA","NA","NA","43.1",608000,11000000,526,513,513
1905,"133.00","NA","NA","NA","NA","50.0",607000,11000000,575,520,520
1906,"146.00","NA","NA","NA","NA","58.9",608000,11000000,608,527,527
1907,"132.00","NA","NA","NA","NA","61.3",609000,10600000,623,535,535
1908,"138.00","NA","54.2","63.0","NA","47.4",609000,11000000,668,542,542
1909,"150.00","NA","57.7","62.1","NA","56.6",609000,11000000,687,550,550
1910,"143.00","NA","73.9","4.67","NA","62.9",608000,10600000,689,557,557
1911,"146.00","NA","62.1","9.87","NA","61.4",608000,10600000,699,565,565
1912,"140.00","NA","74.9","40.0","NA","66.2",609000,10300000,705,573,573
1913,"135.00","NA","63.6","70.3","NA","69.0",608000,10000000,694,581,581
1914,"139.00","NA","41.7","79.4","NA","54.4",610000,9900000,663,589,589
1915,"150.00","NA","99.0","3.36","NA","54.4",616000,9890000,704,598,598
1916,"140.00","NA","794.00","42.1","NA","75.3",623000,9300000,685,606,606
1917,"123.00","NA","628.00","136.00","NA","75.9",629000,8000000,631,615,615
1918,"102.00","NA","83.0","12.4","NA","79.8",635000,6870000,578,623,623
1919,"85.6","NA","75.1","184.00","NA","115.00",641000,6040000,550,632,632
1920,"74.1","NA","517.00","58.9","NA","120.00",660000,5370000,507,641,641
1921,"72.9","NA","808.00","5.56","NA","72.9",662000,6030000,498,650,650
1922,"71.3","NA","310.00","8.46","NA","85.2",667000,6490000,481,660,660
1923,"74.8","NA","316.00","30.1","NA","101.00",664000,6350000,554,669,669
1924,"76.0","NA","329.00","0.410","NA","97.5",665000,6340000,592,679,679
1925,"71.8","NA","170.00","160.00","NA","92.1",664000,6180000,591,689,689
1926,"69.4","NA","140.00","14.7","NA","94.8",663000,6110000,602,698,698
1927,"65.5","NA","159.00","82.7","NA","85.5",664000,6240000,597,709,709
1928,"66.8","NA","176.00","628.00","NA","85.1",665000,6330000,603,719,719
1929,"64.0","NA","264.00","164.00","NA","85.6",663000,6310000,609,729,729
1930,"66.5","NA","111.00","114.00","NA","64.2",662000,6470000,648,740,740
1931,"69.2","NA","299.00","581.00","NA","43.9",723000,7740000,695,751,751
1932,"72.5","NA","408.00","1080.00","NA","30.3",665000,7940000,754,762,762
1933,"71.7","NA","219.00","127.00","NA","20.7",847000,10700000,793,773,773
1934,"86.4","NA","1050.00","46.9","NA","12.7",1120000,13600000,841,784,784
1935,"101.00","NA","1470.00","1.70","NA","23.0",1120000,13300000,924,796,796
1936,"118.00","NA","1010.00","24.5","NA","29.3",1120000,13200000,1030,808,808
1937,"128.00","NA","1450.00","40.9","NA","35.2",1120000,12700000,1100,820,820
1938,"161.00","NA","1740.00","5.23","NA","26.8",1120000,13000000,1170,832,832
1939,"145.00","NA","3170.00","0.451","NA","34.5",1110000,13000000,1230,844,844
1940,"151.00","NA","3760.00","0.995","NA","36.6",1090000,12700000,1310,857,857
1941,"148.00","NA","872.00","0.050","NA","60.4",1090000,12000000,1080,869,869
1942,"108.00","NA","280.00","0.091","NA","67.3",1090000,10900000,1120,882,882
1943,"42.4","NA","90.4","21.4","NA","86.1",1090000,10300000,896,896,896
1944,"31.1","NA","89.3","853.00","NA","109.00",1090000,10100000,813,909,909
1945,"29.7","NA","83.2","176.00","NA","124.00",1120000,10100000,762,923,923
1946,"49.0","NA","340.00","197.00","NA","177.00",1120000,9320000,860,937,937
1947,"65.6","NA","1720.00","157.00","NA","87.2",1120000,8150000,900,951,951
1948,"62.7","NA","1720.00","166.00","NA","80.1",1120000,7560000,932,965,965
1949,"62.0","NA","686.00","67.5","NA","132.00",1020000,6970000,964,980,980
1950,"74.5","NA","145.00","455.00","NA","120.00",1120000,7560000,879,995,995
1951,"61.6","NA","72.2","546.00","NA","93.3",1120000,7010000,883,1010,1010
1952,"58.9","NA","658.00","24.4","NA","113.00",1110000,6830000,868,1026,1026
1953,"60.9","NA","41.8","26.6","NA","100.00",1120000,6830000,864,1041,1041
1954,"57.1","NA","33.7","15.4","NA","69.6",1130000,6830000,965,1057,1057
1955,"58.5","NA","91.1","5.05","NA","61.1",1130000,6860000,947,1074,1074
1956,"56.8","NA","116.00","22.8","NA","68.0",1130000,6750000,978,1090,1090
1957,"55.8","NA","240.00","149.00","NA","69.7",1120000,6510000,1020,1107,1107
1958,"54.1","NA","253.00","27.6","NA","80.9",1130000,6360000,1050,1124,1124
1959,"49.9","NA","264.00","1.54","NA","98.8",1130000,6310000,1130,1142,1142
1960,"51.8","NA","290.00","1.46","NA","115.00",1130000,6240000,1190,1159,1159
1961,"48.2","NA","50.2","689.00","NA","122.00",1130000,6160000,1230,1177,1177
1962,"48.0","NA","134.00","339.00","NA","140.00",1130000,6090000,1290,1196,1196
1963,"45.2","NA","39.8","181.00","NA","132.00",1130000,6010000,1340,1215,1215
1964,"45.3","16.1","36.4","376.00","-114.00","183.00",1130000,5930000,1390,1234,1234
1965,"53.0","18.0","90.4","1140.00","-146.00","204.00",1130000,5840000,1440,1253,1253
1966,"56.1","21.2","37.3","406.00","-174.00","242.00",1130000,5680000,1450,1273,1273
1967,"49.3","25.3","28.9","893.00","-195.00","291.00",1130000,5530000,1420,1293,1293
1968,"46.0","28.0","185.00","745.00","-57.8","296.00",1290000,6040000,1440,1313,1313
1969,"53.9","28.0","182.00","10.5","0.00","312.00",1340000,5940000,1450,1334,1334
1970,"54.2","26.4","134.00","3.30","0.00","272.00",1170000,4920000,1480,1356,1356
1971,"46.5","28.9","196.00","39.7","0.00","284.00",1330000,5340000,1450,1377,1377
1972,"45.1","27.7","191.00","23.8","0.00","292.00",1880000,7340000,1390,1399,1399
1973,"36.6","23.4","120.00","18.7","53.0","265.00",3150000,11500000,1350,1422,1422
1974,"35.1","25.3","82.5","17.7","66.7","205.00",5140000,17000000,1250,1444,1444
1975,"32.7","34.9","82.8","83.6","17.9","208.00",5190000,15700000,1200,1468,1468
1976,"32.6","33.2","82.6","89.5","66.1","222.00",4030000,11500000,1210,1491,1491
1977,"34.2","32.3","139.00","218.00","199.00","228.00",4770000,12800000,1210,1515,1515
1978,"31.1","43.0","146.00","171.00","48.8","243.00",6220000,15600000,1210,1540,1540
1979,"30.0","52.1","144.00","513.00","1.20","239.00",9890000,22200000,1210,1565,1565
1980,"30.2","67.9","141.00","190.00","55.5","170.00",19700000,39000000,1220,1590,1590
1981,"42.9","50.1","145.00","200.00","36.7","151.00",14800000,26500000,1280,1616,1616
1982,"45.6","55.5","153.00","92.4","41.4","177.00",12100000,20400000,1340,1643,1643
1983,"62.3","55.5","143.00","97.6","-6.80","194.00",13600000,22300000,1400,1670,1670
1984,"64.9","55.0","245.00","155.00","11.9","186.00",11600000,18200000,1460,1697,1697
1985,"75.5","49.8","256.00","123.00","15.1","180.00",10200000,15500000,1530,1725,1725
1986,"116.00","47.3","490.00","155.00","146.00","188.00",11800000,17600000,1610,1753,1753
1987,"154.00","63.8","120.00","120.00","95.1","193.00",15400000,22000000,1660,1782,1782
1988,"201.00","61.4","92.5","328.00","208.00","204.00",14100000,19400000,1870,1812,1812
1989,"266.00","51.9","153.00","211.00","132.00","212.00",12300000,16200000,2010,1842,1842
1990,"294.00","44.0","97.5","241.00","51.5","198.00",12400000,15400000,2180,1873,1873
1991,"294.00","48.1","179.00","310.00","61.6","190.00",11700000,14000000,2160,1904,1904
1992,"330.00","53.4","174.00","389.00","136.00","203.00",11100000,12900000,2260,1936,1936
1993,"331.00","66.0","169.00","786.00","582.00","214.00",11600000,13100000,2280,1968,1968
1994,"327.00","75.0","136.00","469.00","217.00","224.00",12400000,13600000,2260,2001,2001
1995,"317.00","43.0","140.00","399.00","244.00","231.00",12400000,13300000,2230,2035,2035
1996,"326.00","44.0","159.00","471.00","373.00","235.00",12500000,13000000,2290,2069,2069
1997,"362.00","49.0","209.00","477.00","143.00","265.00",10700000,10900000,2450,2104,2104
1998,"366.00","86.3","278.00","522.00","310.00","667.00",9490000,9490000,2500,2139,2139
1999,"341.00","77.2","221.00","523.00","303.00","399.00",9000000,8810000,2570,2176,2176
2000,"353.00","40.0","223.00","547.00","356.00","337.00",9010000,8530000,2590,2213,2213
2001,"335.00","41.00","193.00","489.00","259.00","257.00",8750000,8050000,2600,2250,2250
2002,"298.00","38.00","217.00","257.00","40.00","267.00",10000000,9060000,2550,2289,2289
2003,"277.00","44.00","249.00","352.00","55.00","224.00",11700000,10400000,2540,2328,2328
2004,"258.00","45.00","283.00","257.00","3.00","295.00",13200000,11400000,2420,2368,2368
2005,"256.00","40.00","341.00","324.00","0.00","277.00",14300000,11900000,2470,2409,2409
2006,"252.00","44.00","263.00","389.00","0.00","130.00",19500000,15800000,2370,2450,2450
2007,"238.00","66.00","170.00","519.00","189.00","214.00",22400000,17600000,2350,2492,2492
2008,"233.00","87.00","231.00","567.00","220.00","183.00",28100000,21300000,2280,2536,2536
2009,"223.00","92.00","320.00","381.00","0.00","254.00",31300000,23800000,2460,2579,2579
2010,"231.00","103.00","604.00","383.00","0.00","555.00",39500000,28500000,2560,2624,2624
2011,,,,,,,,,,2670,2670
2012,,,,,,,,,,2717,2717
2013,,,,,,,,,,2764,2764
2014,,,,,,,,,,2813,2813
2015,,,,,,,,,,2862,2862
2016,,,,,,,,,,2912,2912
2017,,,,,,,,,,2964,2964
2018,,,,,,,,,,3016,3016
2019,,,,,,,,,,3070,3070
2020,,,,,,,,,,3124,3124
2021,,,,,,,,,,3180,3180
2022,,,,,,,,,,3237,3237
2023,,,,,,,,,,3295,3295
2024,,,,,,,,,,3354,3354
2025,,,,,,,,,,3414,3414
2026,,,,,,,,,,3475,3475
2027,,,,,,,,,,3538,3538
2028,,,,,,,,,,3602,3602
2029,,,,,,,,,,3667,3667
2030,,,,,,,,,,3734,3734
2031,,,,,,,,,,3802,3802
2032,,,,,,,,,,3871,3871
2033,,,,,,,,,,3942,3942
2034,,,,,,,,,,4014,4014
2035,,,,,,,,,,4088,4088
2036,,,,,,,,,,4163,4163
2037,,,,,,,,,,4240,4240
2038,,,,,,,,,,4318,4318
2039,,,,,,,,,,4398,4398
2040,,,,,,,,,,4480,4480
2041,,,,,,,,,,4563,4563
2042,,,,,,,,,,4649,4649
2043,,,,,,,,,,4735,4735
2044,,,,,,,,,,4824,4824
2045,,,,,,,,,,4915,4915
2046,,,,,,,,,,5007,5007
2047,,,,,,,,,,5102,5102
2048,,,,,,,,,,5198,5198
2049,,,,,,,,,,5296,5296
2050,,,,,,,,,,5397,5397
2051,,,,,,,,,,5500,5500
2052,,,,,,,,,,5605,5605
2053,,,,,,,,,,5712,5712
2054,,,,,,,,,,5821,5821
2055,,,,,,,,,,5933,5933
2056,,,,,,,,,,6047,6047
2057,,,,,,,,,,6164,6164
2058,,,,,,,,,,6283,6283
2059,,,,,,,,,,6404,6404
2060,,,,,,,,,,6529,6529
2061,,,,,,,,,,6656,6656
2062,,,,,,,,,,6785,6785
2063,,,,,,,,,,6918,6918
2064,,,,,,,,,,7053,7053
2065,,,,,,,,,,7192,7192
2066,,,,,,,,,,7333,7333
2067,,,,,,,,,,7478,7478
2068,,,,,,,,,,7625,7625
2069,,,,,,,,,,7776,7776
2070,,,,,,,,,,7931,7931
2071,,,,,,,,,,8088,8088
2072,,,,,,,,,,8250,8250
2073,,,,,,,,,,8414,8414
2074,,,,,,,,,,8583,8583
2075,,,,,,,,,,8755,8755
2076,,,,,,,,,,8931,8931
2077,,,,,,,,,,9111,9111
2078,,,,,,,,,,9295,9295
2079,,,,,,,,,,9483,9483
2080,,,,,,,,,,9675,9675
2081,,,,,,,,,,9872,9872
2082,,,,,,,,,,10073,10073
2083,,,,,,,,,,10279,10279
2084,,,,,,,,,,10489,10489
2085,,,,,,,,,,10705,10705
2086,,,,,,,,,,10925,10925
2087,,,,,,,,,,11150,11150
2088,,,,,,,,,,11380,11380
2089,,,,,,,,,,11615,11615
2090,,,,,,,,,,11856,11856
2091,,,,,,,,,,12103,12103
2092,,,,,,,,,,12355,12355
2093,,,,,,,,,,12613,12613
2094,,,,,,,,,,12877,12877
2095,,,,,,,,,,13147,13147
2096,,,,,,,,,,13423,13423
2097,,,,,,,,,,13706,13706
2098,,,,,,,,,,13995,13995
2099,,,,,,,,,,14291,14291
2100,,,,,,,,,,14594,14594
2101,,,,,,,,,,14904,14904
2102,,,,,,,,,,15221,15221
2103,,,,,,,,,,15546,15546
2104,,,,,,,,,,15879,15879
2105,,,,,,,,,,16219,16219
2106,,,,,,,,,,16568,16568
2107,,,,,,,,,,16925,16925
2108,,,,,,,,,,17290,17290
2109,,,,,,,,,,17664,17664
2110,,,,,,,,,,18047,18047
2111,,,,,,,,,,18439,18439
2112,,,,,,,,,,18840,18840
2113,,,,,,,,,,19251,19251
2114,,,,,,,,,,19672,19672
2115,,,,,,,,,,20104,20104
2116,,,,,,,,,,20545,20545
2117,,,,,,,,,,20997,20997
2118,,,,,,,,,,21461,21461
2119,,,,,,,,,,21935,21935
2120,,,,,,,,,,22422,22422
2121,,,,,,,,,,22920,22920
2122,,,,,,,,,,23430,23430
2123,,,,,,,,,,23952,23952
2124,,,,,,,,,,24488,24488
2125,,,,,,,,,,25037,25037
2126,,,,,,,,,,25599,25599
2127,,,,,,,,,,26175,26175
2128,,,,,,,,,,26766,26766
2129,,,,,,,,,,27371,27371
2130,,,,,,,,,,27991,27991
2131,,,,,,,,,,28627,28627
2132,,,,,,,,,,29278,29278
2133,,,,,,,,,,29946,29946
2134,,,,,,,,,,30631,30631
2135,,,,,,,,,,31332,31332
2136,,,,,,,,,,32052,32052
2137,,,,,,,,,,32789,32789
2138,,,,,,,,,,33546,33546
2139,,,,,,,,,,34321,34321
2140,,,,,,,,,,35116,35116
2141,,,,,,,,,,35931,35931
2142,,,,,,,,,,36768,36768
2143,,,,,,,,,,37625,37625
2144,,,,,,,,,,38504,38504
2145,,,,,,,,,,39406,39406
2146,,,,,,,,,,40331,40331
2147,,,,,,,,,,41280,41280
2148,,,,,,,,,,42254,42254
2149,,,,,,,,,,43252,43252
2150,,,,,,,,,,44277,44277
2151,,,,,,,,,,45328,45328
2152,,,,,,,,,,46406,46406
2153,,,,,,,,,,47513,47513
2154,,,,,,,,,,48648,48648
2155,,,,,,,,,,49813,49813
2156,,,,,,,,,,51009,51009
2157,,,,,,,,,,52236,52236
2158,,,,,,,,,,53495,53495
2159,,,,,,,,,,54788,54788
2160,,,,,,,,,,56114,56114
2161,,,,,,,,,,57476,57476
2162,,,,,,,,,,58874,58874
2163,,,,,,,,,,60309,60309
2164,,,,,,,,,,61783,61783
2165,,,,,,,,,,63296,63296
2166,,,,,,,,,,64849,64849
2167,,,,,,,,,,66444,66444
2168,,,,,,,,,,68082,68082
2169,,,,,,,,,,69763,69763
2170,,,,,,,,,,71491,71491
2171,,,,,,,,,,73265,73265
2172,,,,,,,,,,75087,75087
2173,,,,,,,,,,76958,76958
2174,,,,,,,,,,78880,78880
2175,,,,,,,,,,80855,80855
2176,,,,,,,,,,82884,82884
2177,,,,,,,,,,84968,84968
2178,,,,,,,,,,87109,87109
2179,,,,,,,,,,89310,89310
2180,,,,,,,,,,91570,91570
2181,,,,,,,,,,93894,93894
2182,,,,,,,,,,96281,96281
2183,,,,,,,,,,98734,98734
2184,,,,,,,,,,101256,101256
2185,,,,,,,,,,103848,103848
2186,,,,,,,,,,106512,106512
2187,,,,,,,,,,109250,109250
2188,,,,,,,,,,112065,112065
2189,,,,,,,,,,114959,114959
2190,,,,,,,,,,117935,117935
2191,,,,,,,,,,120994,120994
2192,,,,,,,,,,124139,124139
2193,,,,,,,,,,127374,127374
2194,,,,,,,,,,130700,130700
2195,,,,,,,,,,134120,134120
2196,,,,,,,,,,137638,137638
2197,,,,,,,,,,141256,141256
2198,,,,,,,,,,144977,144977
2199,,,,,,,,,,148805,148805
2200,,,,,,,,,,152743,152743
2201,,,,,,,,,,156794,156794
2202,,,,,,,,,,160961,160961
2203,,,,,,,,,,165249,165249
2204,,,,,,,,,,169661,169661
2205,,,,,,,,,,174201,174201
2206,,,,,,,,,,178872,178872
2207,,,,,,,,,,183680,183680
2208,,,,,,,,,,188627,188627
2209,,,,,,,,,,193720,193720
2210,,,,,,,,,,198961,198961
2211,,,,,,,,,,204356,204356
2212,,,,,,,,,,209910,209910
2213,,,,,,,,,,215627,215627
2214,,,,,,,,,,221513,221513
2215,,,,,,,,,,227573,227573
2216,,,,,,,,,,233813,233813
2217,,,,,,,,,,240238,240238
2218,,,,,,,,,,246855,246855
2219,,,,,,,,,,253669,253669
2220,,,,,,,,,,260686,260686
2221,,,,,,,,,,267913,267913
2222,,,,,,,,,,275358,275358
2223,,,,,,,,,,283026,283026
2224,,,,,,,,,,290926,290926
2225,,,,,,,,,,299063,299063
2226,,,,,,,,,,307448,307448
2227,,,,,,,,,,316086,316086
2228,,,,,,,,,,324987,324987
2229,,,,,,,,,,334159,334159
2230,,,,,,,,,,343610,343610
2231,,,,,,,,,,353351,353351
2232,,,,,,,,,,363390,363390
2233,,,,,,,,,,373737,373737
2234,,,,,,,,,,384402,384402
2235,,,,,,,,,,395396,395396
2236,,,,,,,,,,406730,406730
2237,,,,,,,,,,418415,418415
2238,,,,,,,,,,430462,430462
2239,,,,,,,,,,442883,442883
2240,,,,,,,,,,455691,455691
2241,,,,,,,,,,468899,468899
2242,,,,,,,,,,482520,482520
2243,,,,,,,,,,496568,496568
2244,,,,,,,,,,511057,511057
2245,,,,,,,,,,526002,526002
2246,,,,,,,,,,541419,541419
2247,,,,,,,,,,557322,557322
2248,,,,,,,,,,573729,573729
2249,,,,,,,,,,590656,590656
2250,,,,,,,,,,608122,608122
2251,,,,,,,,,,626144,626144
2252,,,,,,,,,,644742,644742
2253,,,,,,,,,,663934,663934
2254,,,,,,,,,,683742,683742
2255,,,,,,,,,,704187,704187
2256,,,,,,,,,,725289,725289
2257,,,,,,,,,,747072,747072
2258,,,,,,,,,,769559,769559
2259,,,,,,,,,,792775,792775
2260,,,,,,,,,,816744,816744
2261,,,,,,,,,,841493,841493
2262,,,,,,,,,,867049,867049
2263,,,,,,,,,,893439,893439
2264,,,,,,,,,,920694,920694
2265,,,,,,,,,,948842,948842
2266,,,,,,,,,,977915,977915
2267,,,,,,,,,,1007946,1007946
2268,,,,,,,,,,1038967,1038967
2269,,,,,,,,,,1071015,1071015
2270,,,,,,,,,,1104125,1104125
2271,,,,,,,,,,1138335,1138335
2272,,,,,,,,,,1173683,1173683
2273,,,,,,,,,,1210209,1210209
2274,,,,,,,,,,1247957,1247957
2275,,,,,,,,,,1286968,1286968
2276,,,,,,,,,,1327289,1327289
2277,,,,,,,,,,1368965,1368965
2278,,,,,,,,,,1412046,1412046
2279,,,,,,,,,,1456581,1456581
2280,,,,,,,,,,1502624,1502624
2281,,,,,,,,,,1550227,1550227
2282,,,,,,,,,,1599448,1599448
2283,,,,,,,,,,1650345,1650345
2284,,,,,,,,,,1702979,1702979
2285,,,,,,,,,,1757412,1757412
2286,,,,,,,,,,1813710,1813710
2287,,,,,,,,,,1871941,1871941
2288,,,,,,,,,,1932176,1932176
2289,,,,,,,,,,1994487,1994487
2290,,,,,,,,,,2058951,2058951
2291,,,,,,,,,,2125647,2125647
2292,,,,,,,,,,2194656,2194656
2293,,,,,,,,,,2266065,2266065
2294,,,,,,,,,,2339962,2339962
2295,,,,,,,,,,2416439,2416439
2296,,,,,,,,,,2495591,2495591
2297,,,,,,,,,,2577517,2577517
2298,,,,,,,,,,2662322,2662322
2299,,,,,,,,,,2750113,2750113
2300,,,,,,,,,,2841000,2841000
2301,,,,,,,,,,2935101,2935101
2302,,,,,,,,,,3032535,3032535
2303,,,,,,,,,,3133427,3133427
2304,,,,,,,,,,3237909,3237909
2305,,,,,,,,,,3346115,3346115
2306,,,,,,,,,,3458187,3458187
2307,,,,,,,,,,3574271,3574271
2308,,,,,,,,,,3694518,3694518
2309,,,,,,,,,,3819088,3819088
2310,,,,,,,,,,3948146,3948146
2311,,,,,,,,,,4081862,4081862
2312,,,,,,,,,,4220415,4220415
2313,,,,,,,,,,4363991,4363991
2314,,,,,,,,,,4512782,4512782
2315,,,,,,,,,,4666989,4666989
2316,,,,,,,,,,4826821,4826821
2317,,,,,,,,,,4992496,4992496
2318,,,,,,,,,,5164239,5164239
2319,,,,,,,,,,5342287,5342287
2320,,,,,,,,,,5526884,5526884
2321,,,,,,,,,,5718286,5718286
2322,,,,,,,,,,5916757,5916757
2323,,,,,,,,,,6122575,6122575
2324,,,,,,,,,,6336028,6336028
2325,,,,,,,,,,6557416,6557416
2326,,,,,,,,,,6787050,6787050
2327,,,,,,,,,,7025256,7025256
2328,,,,,,,,,,7272372,7272372
2329,,,,,,,,,,7528751,7528751
2330,,,,,,,,,,7794761,7794761
2331,,,,,,,,,,8070784,8070784
2332,,,,,,,,,,8357220,8357220
2333,,,,,,,,,,8654482,8654482
2334,,,,,,,,,,8963006,8963006
2335,,,,,,,,,,9283241,9283241
2336,,,,,,,,,,9615657,9615657
2337,,,,,,,,,,9960745,9960745
2338,,,,,,,,,,10319016,10319016
2339,,,,,,,,,,10691002,10691002
2340,,,,,,,,,,11077257,11077257
2341,,,,,,,,,,11478360,11478360
2342,,,,,,,,,,11894915,11894915
2343,,,,,,,,,,12327551,12327551
2344,,,,,,,,,,12776923,12776923
2345,,,,,,,,,,13243716,13243716
2346,,,,,,,,,,13728643,13728643
2347,,,,,,,,,,14232448,14232448
2348,,,,,,,,,,14755908,14755908
2349,,,,,,,,,,15299832,15299832
2350,,,,,,,,,,15865065,15865065
2351,,,,,,,,,,16452488,16452488
2352,,,,,,,,,,17063022,17063022
2353,,,,,,,,,,17697626,17697626
2354,,,,,,,,,,18357302,18357302
2355,,,,,,,,,,19043096,19043096
2356,,,,,,,,,,19756099,19756099
2357,,,,,,,,,,20497449,20497449
2358,,,,,,,,,,21268337,21268337
2359,,,,,,,,,,22070004,22070004
2360,,,,,,,,,,22903746,22903746
2361,,,,,,,,,,23770918,23770918
2362,,,,,,,,,,24672933,24672933
2363,,,,,,,,,,25611267,25611267
2364,,,,,,,,,,26587463,26587463
2365,,,,,,,,,,27603132,27603132
2366,,,,,,,,,,28659956,28659956
2367,,,,,,,,,,29759695,29759695
2368,,,,,,,,,,30904184,30904184
2369,,,,,,,,,,32095343,32095343
2370,,,,,,,,,,33335179,33335179
2371,,,,,,,,,,34625786,34625786
2372,,,,,,,,,,35969358,35969358
2373,,,,,,,,,,37368182,37368182
2374,,,,,,,,,,38824654,38824654
2375,,,,,,,,,,40341276,40341276
2376,,,,,,,,,,41920665,41920665
2377,,,,,,,,,,43565557,43565557
2378,,,,,,,,,,45278813,45278813
2379,,,,,,,,,,47063425,47063425
2380,,,,,,,,,,48922522,48922522
2381,,,,,,,,,,50859378,50859378
2382,,,,,,,,,,52877417,52877417
2383,,,,,,,,,,54980220,54980220
2384,,,,,,,,,,57171535,57171535
2385,,,,,,,,,,59455283,59455283
2386,,,,,,,,,,61835568,61835568
2387,,,,,,,,,,64316683,64316683
2388,,,,,,,,,,66903123,66903123
2389,,,,,,,,,,69599592,69599592
2390,,,,,,,,,,72411014,72411014
2391,,,,,,,,,,75342542,75342542
2392,,,,,,,,,,78399576,78399576
2393,,,,,,,,,,81587764,81587764
2394,,,,,,,,,,84913025,84913025
2395,,,,,,,,,,88381555,88381555
2396,,,,,,,,,,91999844,91999844
2397,,,,,,,,,,95774690,95774690
2398,,,,,,,,,,99713215,99713215
2399,,,,,,,,,,103822877,103822877
2400,,,,,,,,,,108111493,108111493
