VANADIUM STATISTICS1								
U.S. GEOLOGICAL SURVEY								
[All values in metric tons (t) vanadium content unless otherwise noted]								
Last modification: April 1, 2014								
Year	Production	Imports	Exports	Stocks	 Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1901	6.8	NA	NA	NA	6.8	NA	NA	NA
1902	69.1	NA	68	NA	1.1	NA	NA	NA
1903	NA	NA	7.84	NA	4.7	NA	NA	NA
1904	NA	NA	NA	NA	8.3	NA	NA	NA
1905	NA	NA	NA	NA	12	NA	NA	NA
1906	NA	NA	NA	NA	15	NA	NA	NA
1907	18.9	NA	NA	NA	19	NA	NA	NA
1908	NA	272	NA	NA	270	NA	NA	NA
1909	NA	NA	NA	NA	200	NA	NA	NA
1910	NA	NA	NA	NA	130	2640	46000	NA
1911	61.2	NA	NA	NA	61	984	17000	NA
1912	272	NA	43	NA	230	1100	19000	1040
1913	392	NA	129	NA	260	1750	28800	392
1914	410	NA	165	NA	250	1800	29400	414
1915	569	NA	180	NA	390	1850	29800	1360
1916	417	NA	435	NA	310	1690	25300	1190
1917	439	NA	200	NA	240	2400	30600	1260
1918	250	16.1	324	NA	270	2440	26300	484
1919	258	54.7	14.2	NA	300	2480	23400	578
1920	478	188	92.6	NA	570	2680	21800	1640
1921	182	93.5	12.4	NA	260	2880	26200	94.4
1922	23.5	277	11.1	NA	290	3080	29900	70.8
1923	57.4	27.9	21.1	NA	64	3280	31200	NA
1924	NA	128	10.3	NA	120	3060	29100	NA
1925	118	233	23.3	NA	330	2830	26400	1170
1926	300	880	NA	NA	1200	4050	37200	1700
1927	NA	740	NA	NA	740	3650	34100	2200
1928	NA	59	NA	NA	59	3820	36400	2810
1929	NA	1040	NA	NA	1000	4000	38100	2810
1930	NA	105	NA	NA	110	4050	39700	2190
1931	NA	NA	NA	NA	180	4490	48100	661
1932	245	NA	NA	NA	250	4920	58600	480
1933	1.1	NA	NA	NA	1.1	4920	61700	300
1934	5.9	104	NA	NA	110	4780	58200	118
1935	23.1	42.6	NA	NA	66	4770	56800	416
1936	63.5	156	NA	NA	220	4750	55700	975
1937	493	571	NA	NA	1100	4740	53700	1950
1938	732	991	NA	NA	1700	4720	54600	2590
1939	900	968	NA	NA	1900	4710	55200	2910
1940	981	1170	NA	NA	2200	4690	54600	3020
1941	1140	970	11.6	NA	2100	4330	48000	2770
1942	2010	1170	10	NA	3200	4330	43300	3870
1943	2530	960	17.3	NA	3500	4920	46400	4380
1944	1600	601	2.9	NA	2200	4720	43700	3500
1945	1340	1580	51.7	NA	2900	4720	42900	2670
1946	577	368	2.8	NA	940	4530	37800	1390
1947	1280	479	60.4	NA	1700	4530	33100	1740
1948	811	477	8.81	NA	1300	4720	31900	NA
1949	3190	250	52.3	NA	3400	4530	31000	NA
1950	2090	689	18.1	NA	2800	4050	27400	NA
1951	2800	473	27.4	NA	3300	4600	28800	NA
1952	3270	479	101	NA	3600	4920	30200	NA
1953	4210	326	30.2	NA	4500	4900	29900	NA
1954	2860	462	98	NA	3200	4950	30000	NA
1955	2980	83.9	784	256	1540	4920	30000	NA
1956	3510	NA	842	256	1800	4920	29500	NA
1957	3350	NA	454	256	1620	5230	30400	NA
1958	2750	NA	572	250	1140	4920	27800	NA
1959	3710	2.72	1130	316	1720	5430	30300	NA
1960	4510	2.72	1130	750	1830	5430	29800	5040
1961	4850	NA	4160	333	1830	5430	29700	7850
1962	4730	NA	926	346	2100	5040	27200	6080
1963	3500	NA	486	409	2640	5040	26800	6500
1964	3960	10.9	1120	674	3220	4530	23800	7170
1965	4740	NA	842	751	1550	4530	23500	8300
1966	4690	65.3	804	1790	4970	4920	24700	8440
1967	4500	38.1	715	1080	4760	4920	24000	9610
1968	5880	28.1	420	886	4990	4530	21300	11400
1969	5060	2040	261	1370	5580	5940	26400	10300
1970	4830	1810	883	929	5200	4920	20700	14900
1971	4770	2130	236	585	4360	11200	45100	15800
1972	4430	1270	160	715	4740	7280	28400	15500
1973	4410	2570	852	3730	5800	7280	26700	16000
1974	4870	2870	1010	3540	6530	8190	27100	20400
1975	4410	3840	0	4100	4990	8420	25500	21600
1976	5620	3510	0	3720	4280	13300	38100	29200
1977	4730	3260	472	3960	4770	13700	36800	29000
1978	5720	3050	1560	2770	6020	13700	34300	29400
1979	6690	3510	1810	3110	6100	14000	31400	37700
1980	6370	2630	1020	3870	5570	12100	23900	35900
1981	7500	3410	259	4280	6230	12400	22200	35300
1982	5790	1720	1550	4390	3170	10800	18200	27200
1983	3020	669	1940	4390	2970	13800	22600	27200
1984	3920	1770	2360	3420	4320	13800	21700	31100
1985	2450	990	1240	2910	4430	13800	20900	31000
1986	2110	2740	1390	2480	3920	13800	20500	32000
1987	2280	2570	1310	2060	4220	13800	19800	32000
1988	2950	2350	1580	1270	4830	13400	18500	33000
1989	2390	4160	3040	1740	4650	24300	31900	33000
1990	2310	4690	3920	1080	4080	16600	20700	33200
1991	2250	1620	2860	935	3290	11200	13400	26400
1992	1350	1790	3430	1080	3980	8970	10400	26700
1993	2870	3190	3100	900	3930	5710	6440	25000
1994	2830	4150	2790	1110	4460	11600	12800	32000
1995	1990	5100	2240	310	4650	11000	11800	36000
1996	3730	4650	3700	305	4630	12600	13100	35100
1997	W	5640	2420	323	4710	15300	15500	37100
1998	W	5200	2350	336	4380	21500	21500	42700
1999	W	5000	1540	348	3840	7830	7660	36300
2000	0	7830	1710	303	6170	7160	6780	41000
2001	0	6140	593	251	5600	5390	4960	41800
2002	0	5060	1010	233	4060	5270	4780	51000
2003	0	5460	1740	252	3700	8700	7710	47900
2004	0	6650	2520	336	4050	23600	20300	51900
2005	0	3490	3360	371	90	64100	53500	56400
2006	0	5420	3880	330	1590	30900	25000	57900
2007	0	7060	2910	324	4160	29100	22900	58500
2008	520	8500	3190	335	5820	50800	38500	61600
2009	230	2550	1630	295	1190	21400	16200	58800
2010	1060	6270	1940	248	5450	24500	19000	71700
2011	590	7760	900	193	7490	26600	19300	74200
2012	272	9230	940	223	8530	25500	18100	74300
NA Not available. W Withheld to avoid disclosing company proprietary data.								
1Compiled by C.A. DiFrancesco, M.J. Magyar, and D.E. Polyak.								
Data are calculated, estimated, or reported.  See notes for more information.								
